Tempo_ms,Angulo_Real_graus,Alvo_graus
11892,7.25,0.0
11904,7.25,0.0
11944,7.25,0.0
11956,7.25,0.0
11968,7.25,0.0
11980,7.25,0.0
11992,7.25,0.0
12004,7.25,0.0
12016,7.25,0.0
12028,7.25,0.0
12068,7.25,0.0
12080,7.25,0.0
12092,7.25,0.0
12104,7.25,0.0
12116,7.25,0.0
12128,7.25,0.0
12140,7.25,0.0
12152,7.25,0.0
12192,7.25,0.0
12204,7.25,0.0
12216,7.25,0.0
12228,7.25,0.0
12240,7.25,0.0
12252,7.25,0.0
12264,7.25,0.0
12276,7.25,0.0
12316,7.25,0.0
12328,7.25,0.0
12340,7.25,0.0
12352,7.25,0.0
12364,7.25,0.0
12376,7.25,0.0
12388,7.25,0.0
12400,7.25,0.0
12440,7.25,0.0
12452,7.25,0.0
12464,7.25,0.0
12476,7.25,0.0
12488,7.25,0.0
12500,7.25,0.0
12512,7.25,0.0
12524,7.25,0.0
12564,7.25,0.0
12576,7.25,0.0
12588,7.25,0.0
12600,7.25,0.0
12612,7.25,0.0
12624,7.25,0.0
12636,7.25,0.0
12648,7.25,0.0
12688,7.25,0.0
12700,7.25,0.0
12712,7.25,0.0
12724,7.25,0.0
12736,7.25,0.0
12748,7.25,0.0
12760,7.25,0.0
12772,7.25,0.0
12812,7.25,0.0
12824,7.25,0.0
12836,7.25,0.0
12848,7.5,0.0
12860,7.5,0.0
12872,7.75,0.0
12884,8.0,0.0
12896,8.5,0.0
12936,10.0,0.0
12948,10.75,0.0
12960,11.5,0.0
12972,12.5,0.0
12984,13.5,0.0
12996,14.5,0.0
13008,15.75,0.0
13020,17.0,0.0
13060,21.75,0.0
13072,23.25,0.0
13084,25.0,0.0
13096,26.5,0.0
13108,28.25,0.0
13120,29.75,0.0
13132,31.5,0.0
13144,33.25,0.0
13184,38.25,0.0
13196,39.5,0.0
13208,41.0,0.0
13220,42.25,0.0
13232,43.5,0.0
13244,44.5,0.0
13256,45.5,0.0
13268,46.5,0.0
13308,48.5,0.0
13320,48.75,0.0
13332,49.0,0.0
13344,49.25,0.0
13356,49.25,0.0
13368,49.0,0.0
13380,48.75,0.0
13392,48.5,0.0
13432,46.75,0.0
13444,46.0,0.0
13456,45.25,0.0
13468,44.25,0.0
13480,43.5,0.0
13492,42.5,0.0
13504,41.5,0.0
13516,40.5,0.0
13556,37.25,0.0
13568,36.0,0.0
13580,35.0,0.0
13592,34.0,0.0
13604,33.0,0.0
13616,32.25,0.0
13628,31.25,0.0
13640,30.5,0.0
13680,28.25,0.0
13692,27.75,0.0
13704,27.25,0.0
13716,27.0,0.0
13728,26.75,0.0
13740,26.75,0.0
