Tempo_ms,Angulo_Real_graus,Alvo_graus
1360,7.25,60.0
1440,7.25,60.0
1520,7.25,60.0
1600,7.25,60.0
1680,7.25,60.0
1760,7.25,60.0
1840,7.25,60.0
1920,7.25,60.0
2000,7.25,60.0
2080,7.25,60.0
2160,7.25,60.0
2240,7.25,60.0
2320,7.25,60.0
2400,7.25,60.0
2480,7.25,60.0
2560,7.25,60.0
2640,7.25,60.0
2720,7.25,60.0
2800,7.25,60.0
2880,8.0,60.0
2960,11.25,60.0
3040,19.0,60.0
3120,31.5,60.0
3200,45.5,60.0
3280,56.75,60.0
3360,62.5,60.0
3440,62.0,60.0
3520,56.5,60.0
3600,49.5,60.0
3680,42.5,60.0
3760,39.0,60.0
3840,40.25,60.0
3920,44.75,60.0
4000,50.0,60.0
4080,54.75,60.0
4160,57.25,60.0
4240,56.75,60.0
4320,54.25,60.0
4400,51.25,60.0
4480,48.75,60.0
4560,47.75,60.0
4640,48.5,60.0
4720,50.25,60.0
4800,52.5,60.0
4880,54.25,60.0
4960,55.0,60.0
5040,55.25,60.0
5120,54.75,60.0
5200,54.25,60.0
5280,53.75,60.0
5360,53.75,60.0
5440,53.75,60.0
5520,54.0,60.0
5600,54.5,60.0
5680,54.5,60.0
5760,54.5,60.0
5840,54.5,60.0
5920,54.25,60.0
6000,54.25,60.0
6080,54.5,60.0
6160,54.5,60.0
6240,54.5,60.0
6320,54.5,60.0
6400,54.5,60.0
6480,54.75,60.0
6560,54.75,60.0
6640,54.75,60.0
6720,54.75,60.0
6800,54.5,60.0
6880,54.75,60.0
6960,54.75,60.0
7040,55.0,60.0
7120,55.25,60.0
7200,55.5,60.0
7280,55.5,60.0
7360,55.5,60.0
7440,55.5,60.0
7520,55.5,60.0
7600,55.25,60.0
7680,55.0,60.0
7760,55.25,60.0
7840,55.25,60.0
7920,55.25,60.0
8000,55.25,60.0
8080,55.5,60.0
8160,56.0,60.0
8240,56.25,60.0
8320,56.5,60.0
8400,56.75,60.0
8480,56.5,60.0
8560,56.5,60.0
8640,56.5,60.0
8720,56.5,60.0
8800,56.75,60.0
8880,56.75,60.0
8960,56.75,60.0
9040,56.75,60.0
9120,56.75,60.0
9200,56.75,60.0
9280,56.75,60.0
9360,57.0,60.0
9440,57.0,60.0
9520,57.0,60.0
9600,57.0,60.0
9680,57.0,60.0
9760,57.0,60.0
9840,57.0,60.0
9920,57.0,60.0
10000,57.25,60.0
10080,57.0,60.0
10160,57.0,60.0
10240,57.0,60.0
10320,57.0,60.0
10400,57.25,60.0
10480,57.25,60.0
10560,57.25,60.0
10640,57.25,60.0
10720,57.25,60.0
10800,57.5,60.0
10880,57.5,60.0
10960,58.25,60.0
11040,59.0,60.0
11120,59.75,60.0
11200,60.25,60.0
11280,60.25,60.0
11360,60.25,60.0
11440,60.0,60.0
11520,60.0,60.0
11600,60.0,60.0
11680,59.75,60.0
11760,59.75,60.0
11840,59.5,60.0
11920,59.75,60.0
12000,59.75,60.0
12080,59.75,60.0
12160,59.75,60.0
12240,59.5,60.0
12320,59.5,60.0
12400,59.5,60.0
12480,59.5,60.0
12560,59.75,60.0
12640,59.5,60.0
12720,59.5,60.0
12800,59.25,60.0
12880,59.5,60.0
12960,60.0,60.0
13040,60.5,60.0
13120,61.0,60.0
13200,61.25,60.0
13280,61.25,60.0
13360,61.5,60.0
13440,61.5,60.0
13520,61.75,60.0
13600,61.5,60.0
13680,61.5,60.0
13760,61.25,60.0
13840,61.25,60.0
13920,61.25,60.0
14000,60.75,60.0
14080,60.5,60.0
14160,60.25,60.0
14240,60.0,60.0
14320,60.25,60.0
14400,60.25,60.0
14480,60.5,60.0
14560,60.5,60.0
14640,60.5,60.0
14720,60.5,60.0
14800,60.25,60.0
14880,60.5,60.0
14960,60.5,60.0
15040,60.75,60.0
15120,60.75,60.0
15200,60.75,60.0
15280,61.0,60.0
15360,61.25,60.0
15440,60.5,60.0
15520,59.25,60.0
15600,59.0,60.0
15680,59.75,60.0
15760,59.75,60.0
15840,47.0,60.0
15920,34.25,60.0
16000,31.5,60.0
16080,39.5,60.0
16160,55.25,60.0
16240,72.0,60.0
16320,86.0,60.0
16400,93.75,60.0
16480,95.25,60.0
16560,91.0,60.0
16640,81.75,60.0
16720,68.75,60.0
16800,55.0,60.0
16880,44.5,60.0
16960,40.5,60.0
17040,44.0,60.0
17120,53.75,60.0
17200,65.5,60.0
17280,76.0,60.0
17360,82.25,60.0
17440,83.0,60.0
17520,79.5,60.0
17600,72.5,60.0
17680,63.5,60.0
17760,55.0,60.0
17840,49.5,60.0
17920,48.5,60.0
18000,52.0,60.0
18080,58.25,60.0
18160,65.25,60.0
18240,70.25,60.0
18320,72.75,60.0
18400,72.0,60.0
18480,69.0,60.0
18560,64.5,60.0
18640,60.0,60.0
18720,56.75,60.0
18800,55.25,60.0
18880,55.75,60.0
18960,57.75,60.0
19040,60.5,60.0
19120,62.75,60.0
19200,64.25,60.0
19280,64.25,60.0
19360,63.5,60.0
19440,62.75,60.0
19520,62.0,60.0
19600,61.25,60.0
19680,61.0,60.0
19760,61.0,60.0
19840,61.25,60.0
19920,61.5,60.0
20000,61.25,60.0
20080,61.25,60.0
20160,61.0,60.0
20240,61.25,60.0
20320,61.25,60.0
20400,61.0,60.0
20480,60.75,60.0
20560,60.5,60.0
20640,60.25,60.0
20720,60.25,60.0
20800,60.25,60.0
20880,60.25,60.0
20960,60.5,60.0
21040,60.5,60.0
21120,60.75,60.0
21200,60.75,60.0
21280,60.75,60.0
21360,60.75,60.0
21440,60.75,60.0
21520,60.75,60.0
21600,60.75,60.0
21680,60.75,60.0
21760,60.75,60.0
21840,60.75,60.0
21920,60.75,60.0
22000,60.75,60.0
22080,60.75,60.0
22160,60.75,60.0
22240,60.5,60.0
22320,60.5,60.0
22400,60.5,60.0
22480,60.5,60.0
22560,60.25,60.0
22640,60.25,60.0
22720,60.25,60.0
22800,60.25,60.0
22880,60.25,60.0
22960,60.25,60.0
23040,60.25,60.0
23120,60.5,60.0
23200,60.5,60.0
23280,60.25,60.0
23360,60.25,60.0
23440,60.5,60.0
23520,70.25,60.0
23600,91.75,60.0
23680,106.5,60.0
23760,111.5,60.0
23840,107.25,60.0
23920,95.0,60.0
24000,75.75,60.0
24080,52.5,60.0
24160,32.0,60.0
24240,21.75,60.0
24320,25.75,60.0
24400,41.25,60.0
24480,60.5,60.0
24560,77.0,60.0
24640,86.5,60.0
24720,88.25,60.0
24800,82.5,60.0
24880,70.75,60.0
24960,55.75,60.0
25040,42.0,60.0
25120,34.0,60.0
25200,35.0,60.0
25280,43.25,60.0
25360,55.5,60.0
25440,66.5,60.0
25520,73.5,60.0
25600,74.75,60.0
25680,71.0,60.0
25760,63.75,60.0
25840,55.0,60.0
25920,47.5,60.0
26000,44.0,60.0
26080,45.25,60.0
26160,49.5,60.0
26240,55.5,60.0
26320,60.75,60.0
26400,64.0,60.0
26480,64.25,60.0
26560,62.25,60.0
26640,59.25,60.0
26720,56.0,60.0
26800,54.0,60.0
26880,53.5,60.0
26960,54.25,60.0
27040,55.5,60.0
27120,56.75,60.0
27200,57.5,60.0
27280,57.75,60.0
27360,57.75,60.0
27440,57.5,60.0
27520,57.5,60.0
27600,57.5,60.0
27680,57.75,60.0
27760,57.75,60.0
27840,57.75,60.0
27920,57.5,60.0
28000,57.5,60.0
28080,57.5,60.0
28160,57.5,60.0
28240,57.5,60.0
28320,57.75,60.0
28400,57.75,60.0
28480,57.75,60.0
28560,57.75,60.0
28640,57.75,60.0
28720,57.75,60.0
28800,58.0,60.0
28880,58.0,60.0
28960,58.0,60.0
29040,58.0,60.0
29120,58.0,60.0
29200,58.25,60.0
29280,58.25,60.0
29360,58.25,60.0
29440,58.25,60.0
29520,58.0,60.0
29600,58.0,60.0
29680,58.0,60.0
29760,58.0,60.0
29840,57.75,60.0
29920,58.0,60.0
30000,58.0,60.0
30080,58.0,60.0
30160,57.75,60.0
30240,57.75,60.0
30320,57.75,60.0
30400,58.0,60.0
30480,58.0,60.0
30560,58.0,60.0
30640,57.75,60.0
30720,58.0,60.0
30800,58.0,60.0
30880,58.25,60.0
30960,58.25,60.0
31040,58.25,60.0
31120,58.25,60.0
31200,58.5,60.0
31280,58.5,60.0
31360,58.5,60.0
31440,58.5,60.0
31520,58.25,60.0
31600,58.25,60.0
31680,58.5,60.0
31760,58.5,60.0
31840,58.75,60.0
31920,58.5,60.0
32000,58.25,60.0
32080,58.25,60.0
32160,58.25,60.0
32240,58.25,60.0
32320,58.25,60.0
32400,58.25,60.0
32480,58.25,60.0
32560,58.5,60.0
32640,58.5,60.0
32720,58.5,60.0
32800,58.5,60.0
32880,58.5,60.0
