Tempo_ms,Angulo_Real_graus,Alvo_graus
46478,9.5,30.0
46558,9.5,30.0
46638,9.5,30.0
46718,9.5,30.0
46798,9.5,30.0
46878,9.5,30.0
46958,9.5,30.0
47038,9.5,30.0
47118,9.5,30.0
47198,9.5,30.0
47278,9.5,30.0
47358,9.5,30.0
47438,10.25,30.0
47518,12.25,30.0
47598,15.5,30.0
47678,19.0,30.0
47758,21.25,30.0
47838,21.5,30.0
47918,20.25,30.0
47998,18.5,30.0
48078,17.0,30.0
48158,16.5,30.0
48238,17.0,30.0
48318,18.25,30.0
48398,19.25,30.0
48478,19.75,30.0
48558,19.5,30.0
48638,19.0,30.0
48718,18.25,30.0
48798,18.0,30.0
48878,18.25,30.0
48958,18.5,30.0
49038,18.75,30.0
49118,19.0,30.0
49198,18.75,30.0
49278,18.5,30.0
49358,18.5,30.0
49438,18.5,30.0
49518,18.75,30.0
49598,19.0,30.0
49678,19.0,30.0
49758,18.75,30.0
49838,18.75,30.0
49918,18.75,30.0
49998,18.75,30.0
50078,18.75,30.0
50158,18.75,30.0
50238,19.0,30.0
50318,19.0,30.0
50398,19.0,30.0
50478,18.75,30.0
50558,18.75,30.0
50638,18.75,30.0
50718,18.75,30.0
50798,18.75,30.0
50878,18.75,30.0
50958,18.75,30.0
51038,18.75,30.0
51118,19.0,30.0
51198,18.75,30.0
51278,18.75,30.0
51358,18.75,30.0
51438,19.0,30.0
51518,19.0,30.0
51598,19.0,30.0
51678,19.25,30.0
51758,19.25,30.0
51838,19.75,30.0
51918,21.0,30.0
51998,21.25,30.0
52078,20.75,30.0
52158,19.75,30.0
52238,19.25,30.0
52318,21.25,30.0
52398,26.25,30.0
52478,32.75,30.0
52558,38.5,30.0
52638,40.0,30.0
52718,35.5,30.0
52798,28.5,30.0
52878,23.5,30.0
52958,23.25,30.0
53038,26.0,30.0
53118,28.25,30.0
53198,30.25,30.0
53278,33.0,30.0
53358,35.75,30.0
53438,38.25,30.0
53518,39.25,30.0
53598,35.75,30.0
53678,26.75,30.0
53758,16.5,30.0
53838,9.0,30.0
53918,7.25,30.0
53998,11.0,30.0
54078,18.5,30.0
54158,25.75,30.0
54238,29.25,30.0
54318,28.0,30.0
54398,23.25,30.0
54478,17.25,30.0
54558,12.75,30.0
54638,11.75,30.0
54718,14.75,30.0
54798,19.5,30.0
54878,23.75,30.0
54958,26.5,30.0
55038,28.5,30.0
55118,31.0,30.0
55198,34.0,30.0
55278,36.5,30.0
55358,38.5,30.0
55438,39.5,30.0
55518,39.25,30.0
55598,38.0,30.0
55678,34.5,30.0
55758,29.25,30.0
55838,25.5,30.0
55918,26.0,30.0
55998,30.25,30.0
56078,36.75,30.0
56158,42.75,30.0
56238,46.25,30.0
56318,46.0,30.0
56398,43.0,30.0
56478,37.5,30.0
56558,32.25,30.0
56638,29.25,30.0
56718,29.5,30.0
56798,30.75,30.0
56878,31.0,30.0
56958,31.25,30.0
57038,32.0,30.0
57118,33.5,30.0
57198,35.25,30.0
57278,36.75,30.0
57358,37.5,30.0
57438,37.5,30.0
57518,37.0,30.0
57598,36.25,30.0
57678,35.75,30.0
57758,35.5,30.0
57838,35.25,30.0
57918,35.25,30.0
57998,35.25,30.0
58078,35.25,30.0
58158,35.25,30.0
58238,35.0,30.0
58318,35.0,30.0
58398,35.0,30.0
58478,35.0,30.0
58558,35.0,30.0
58638,35.25,30.0
58718,35.25,30.0
58798,35.0,30.0
58878,35.0,30.0
58958,35.0,30.0
59038,34.75,30.0
59118,34.75,30.0
59198,34.75,30.0
59278,34.75,30.0
59358,34.75,30.0
59438,34.75,30.0
59518,34.75,30.0
59598,34.75,30.0
59678,34.5,30.0
59758,34.5,30.0
59838,34.25,30.0
59918,34.25,30.0
59998,34.25,30.0
60078,34.25,30.0
60158,34.25,30.0
60238,32.75,30.0
60318,31.25,30.0
60398,30.25,30.0
60478,30.75,30.0
60558,32.0,30.0
60638,33.5,30.0
60718,34.75,30.0
60798,35.25,30.0
60878,34.75,30.0
60958,33.75,30.0
61038,32.75,30.0
61118,32.25,30.0
61198,32.25,30.0
61278,32.5,30.0
61358,33.0,30.0
61438,33.25,30.0
61518,33.0,30.0
61598,32.75,30.0
61678,32.75,30.0
61758,32.75,30.0
61838,33.0,30.0
61918,32.75,30.0
61998,32.5,30.0
