Tempo_ms,Angulo_Real_graus,Alvo_graus
58144,7.5,0.0
58156,7.5,0.0
58196,7.5,0.0
58208,7.5,0.0
58220,7.5,0.0
58232,7.5,0.0
58244,7.5,0.0
58256,7.5,0.0
58268,7.5,0.0
58280,7.5,0.0
58320,7.5,0.0
58332,7.5,0.0
58344,7.5,0.0
58356,7.5,0.0
58368,7.5,0.0
58380,7.5,0.0
58392,7.5,0.0
58404,7.5,0.0
58444,7.5,0.0
58456,7.5,0.0
58468,7.5,0.0
58480,7.5,0.0
58492,7.5,0.0
58504,7.5,0.0
58516,7.5,0.0
58528,7.5,0.0
58568,7.5,0.0
58580,7.5,0.0
58592,7.5,0.0
58604,7.5,0.0
58616,7.5,0.0
58628,7.5,0.0
58640,7.5,0.0
58652,7.5,0.0
58692,7.5,0.0
58704,7.5,0.0
58716,7.5,0.0
58728,7.5,0.0
58740,7.5,0.0
58752,7.5,0.0
58764,7.5,0.0
58776,7.5,0.0
58816,7.5,0.0
58828,7.5,0.0
58840,7.5,0.0
58852,7.5,0.0
58864,7.5,0.0
58876,7.5,0.0
58888,7.5,0.0
58900,7.5,0.0
58940,7.5,0.0
58952,7.5,0.0
58964,7.5,0.0
58976,7.5,0.0
58988,7.5,0.0
59000,7.5,0.0
59012,7.5,0.0
59024,7.5,0.0
59064,7.5,0.0
59076,7.5,0.0
59088,7.5,0.0
59100,7.5,0.0
59112,7.5,0.0
59124,7.5,0.0
59136,7.5,0.0
59148,7.5,0.0
59188,8.0,0.0
59200,8.25,0.0
59212,8.75,0.0
59224,9.25,0.0
59236,9.75,0.0
59248,10.5,0.0
59260,11.5,0.0
59272,12.5,0.0
59312,17.25,0.0
59324,19.0,0.0
59336,20.75,0.0
59348,22.5,0.0
59360,24.5,0.0
59372,26.5,0.0
59384,28.75,0.0
59396,30.75,0.0
59436,38.75,0.0
59448,41.25,0.0
59460,43.75,0.0
59472,46.25,0.0
59484,48.5,0.0
59496,51.25,0.0
59508,53.75,0.0
59520,56.25,0.0
59560,64.0,0.0
59572,65.75,0.0
59584,68.0,0.0
59596,70.0,0.0
59608,72.0,0.0
59620,73.75,0.0
59632,75.25,0.0
59644,77.0,0.0
59684,81.25,0.0
59696,82.25,0.0
59708,83.25,0.0
59720,83.75,0.0
59732,84.5,0.0
59744,85.25,0.0
59756,85.5,0.0
59768,85.75,0.0
59808,86.0,0.0
59820,85.75,0.0
59832,85.25,0.0
59844,85.0,0.0
59856,84.5,0.0
59868,84.0,0.0
59880,83.25,0.0
59892,82.75,0.0
59932,79.75,0.0
59944,79.0,0.0
59956,78.0,0.0
59968,76.75,0.0
59980,75.75,0.0
59992,74.75,0.0
60004,73.5,0.0
60016,72.25,0.0
60056,68.0,0.0
60068,66.75,0.0
60080,65.5,0.0
60092,64.25,0.0
60104,63.0,0.0
60116,61.75,0.0
60128,60.75,0.0
60140,59.75,0.0
60180,56.25,0.0
60192,55.5,0.0
60204,54.5,0.0
60216,53.75,0.0
60228,53.25,0.0
60240,52.75,0.0
60252,52.25,0.0
60264,52.0,0.0
60304,51.75,0.0
60316,51.75,0.0
60328,52.0,0.0
60340,52.25,0.0
60352,52.75,0.0
60364,53.0,0.0
60376,53.75,0.0
60388,54.25,0.0
60428,56.5,0.0
60440,57.25,0.0
60452,58.0,0.0
60464,58.75,0.0
60476,59.5,0.0
60488,60.5,0.0
60500,61.25,0.0
60512,62.25,0.0
60552,65.0,0.0
60564,65.75,0.0
60576,66.5,0.0
60588,67.5,0.0
60600,68.25,0.0
60612,69.0,0.0
60624,69.5,0.0
60636,70.25,0.0
60676,72.25,0.0
60688,72.75,0.0
60700,73.25,0.0
60712,73.5,0.0
60724,73.75,0.0
60736,74.25,0.0
60748,74.5,0.0
60760,74.75,0.0
60800,75.0,0.0
60812,75.0,0.0
60824,75.0,0.0
60836,75.0,0.0
60848,74.75,0.0
60860,74.75,0.0
60872,74.5,0.0
60884,74.25,0.0
60924,73.0,0.0
60936,72.75,0.0
60948,72.5,0.0
60960,72.0,0.0
60972,71.5,0.0
60984,71.0,0.0
60996,70.5,0.0
61008,70.0,0.0
61048,68.5,0.0
61060,68.0,0.0
61072,67.5,0.0
61084,67.0,0.0
61096,66.5,0.0
61108,66.0,0.0
61120,65.5,0.0
61132,65.0,0.0
61172,63.75,0.0
61184,63.25,0.0
61196,63.0,0.0
61208,62.5,0.0
61220,62.25,0.0
61232,62.0,0.0
61244,61.75,0.0
61256,61.75,0.0
61296,61.25,0.0
61308,61.25,0.0
61320,61.25,0.0
61332,61.25,0.0
61344,61.25,0.0
61356,61.25,0.0
61368,61.25,0.0
61380,61.5,0.0
61420,62.0,0.0
61432,62.25,0.0
61444,62.5,0.0
61456,62.75,0.0
61468,63.0,0.0
61480,63.25,0.0
61492,63.5,0.0
61504,63.75,0.0
61544,64.75,0.0
61556,65.0,0.0
61568,65.25,0.0
61580,65.5,0.0
61592,65.75,0.0
61604,66.0,0.0
61616,66.5,0.0
61628,66.75,0.0
61668,67.5,0.0
61680,67.75,0.0
