Tempo_ms,Angulo_Real_graus,Alvo_graus
169856,8.25,0.0
169868,8.25,0.0
169880,8.25,0.0
169920,8.25,0.0
169932,8.25,0.0
169944,8.25,0.0
169956,8.25,0.0
169968,8.25,0.0
169980,8.25,0.0
169992,8.25,0.0
170004,8.25,0.0
170044,8.25,0.0
170056,8.25,0.0
170068,8.25,0.0
170080,8.25,0.0
170092,8.25,0.0
170104,8.25,0.0
170116,8.25,0.0
170128,8.25,0.0
170168,8.25,0.0
170180,8.25,0.0
170192,8.25,0.0
170204,8.25,0.0
170216,8.25,0.0
170228,8.25,0.0
170240,8.25,0.0
170252,8.25,0.0
170292,8.25,0.0
170304,8.25,0.0
170316,8.25,0.0
170328,8.25,0.0
170340,8.25,0.0
170352,8.25,0.0
170364,8.25,0.0
170376,8.25,0.0
170416,8.25,0.0
170428,8.25,0.0
170440,8.25,0.0
170452,8.25,0.0
170464,8.25,0.0
170476,8.25,0.0
170488,8.25,0.0
170500,8.25,0.0
170540,8.25,0.0
170552,8.25,0.0
170564,8.25,0.0
170576,8.25,0.0
170588,8.25,0.0
170600,8.25,0.0
170612,8.25,0.0
170624,8.25,0.0
170664,8.25,0.0
170676,8.25,0.0
170688,8.25,0.0
170700,8.25,0.0
170712,8.25,0.0
170724,8.25,0.0
170736,8.25,0.0
170748,8.25,0.0
170788,8.25,0.0
170800,8.25,0.0
170812,8.25,0.0
170824,8.25,0.0
170836,8.25,0.0
170848,8.25,0.0
170860,8.25,0.0
170872,8.25,0.0
170912,8.25,0.0
170924,8.25,0.0
170936,8.25,0.0
170948,8.25,0.0
170960,8.25,0.0
170972,8.25,0.0
170984,8.25,0.0
170996,8.25,0.0
171036,8.25,0.0
171048,8.25,0.0
171060,8.25,0.0
171072,8.25,0.0
171084,8.25,0.0
171096,8.25,0.0
171108,8.25,0.0
171120,8.25,0.0
171160,8.25,0.0
171172,8.25,0.0
171184,8.25,0.0
171196,8.25,0.0
171208,8.25,0.0
171220,8.25,0.0
