Tempo_ms,Angulo_Real_graus,Alvo_graus
94393,53.75,60.0
94498,54.0,60.0
94603,54.0,60.0
94708,54.0,60.0
94813,54.25,60.0
94918,55.0,60.0
95023,51.5,60.0
95128,44.5,60.0
95233,46.0,60.0
95338,54.75,60.0
95443,62.25,60.0
95548,61.0,60.0
95653,52.25,60.0
95758,45.25,60.0
95863,47.5,60.0
95968,57.25,60.0
96073,64.25,60.0
96178,62.0,60.0
96283,51.5,60.0
96388,42.75,60.0
96493,44.75,60.0
96598,55.5,60.0
96703,64.0,60.0
96808,63.0,60.0
96913,53.75,60.0
97018,44.25,60.0
97123,44.25,60.0
97228,54.0,60.0
97333,64.5,60.0
97438,65.75,60.0
97543,56.0,60.0
97648,43.75,60.0
97753,41.75,60.0
97858,52.5,60.0
97963,66.25,60.0
98068,69.25,60.0
98173,57.25,60.0
98278,39.0,60.0
98383,33.25,60.0
98488,48.25,60.0
98593,69.0,60.0
98698,76.5,60.0
98803,62.5,60.0
98908,37.0,60.0
99013,25.5,60.0
99118,41.25,60.0
99223,68.25,60.0
99328,80.75,60.0
99433,70.25,60.0
99538,53.0,60.0
99643,51.5,60.0
99748,50.0,60.0
99853,49.25,60.0
99958,50.0,60.0
100063,51.75,60.0
100168,53.0,60.0
100273,52.75,60.0
100378,52.25,60.0
100483,52.5,60.0
100588,53.0,60.0
100693,53.0,60.0
100798,52.5,60.0
100903,52.5,60.0
101008,53.25,60.0
101113,52.75,60.0
101218,52.25,60.0
101323,52.5,60.0
101428,53.0,60.0
101533,53.0,60.0
101638,52.75,60.0
101743,52.5,60.0
101848,52.75,60.0
101953,53.0,60.0
102058,53.0,60.0
102163,53.25,60.0
102268,53.5,60.0
102373,53.5,60.0
102478,53.5,60.0
102583,53.5,60.0
102688,53.75,60.0
102793,54.25,60.0
102898,54.0,60.0
103003,53.25,60.0
103108,53.0,60.0
103213,53.75,60.0
103318,54.75,60.0
